address,price,beds,baths,sqft,type,agent,details,source_file
"309 E Brandon St, Overton, TX 75684",149900.0,3,3,1700.0,Multi-family home for sale,SIMPSON REALTY GROUP,"Price cut: $10,000 (2/7)",properties_sheet5_parsed.csv
"(undisclosed Address), Emory, TX 75440",149900.0,5,3,2240.0,Multi-family home for sale,,62 days on Zillow,properties_sheet5_parsed.csv
"726 Swancy St, Longview, TX 75602",149999.0,3,2,1268.0,House for sale,COLDWELL BANKER LENHART,Fresh interior paint throughout,properties_sheet5_parsed.csv
"16053 Fm 848, Whitehouse, TX 75791",150000.0,3,2,1440.0,House for sale,KRISTI MARTIN REALTY,Ample outdoor space,properties_sheet5_parsed.csv
"18737 Saddleback Ln, Flint, TX 75762",150000.0,4,3,2200.0,House for sale,STAPLES SOTHEBY'S INTERNATIONAL REALTY,Great yard,properties_sheet5_parsed.csv
"505 Pinecrest St, Avinger, TX 75630",150000.0,3,2,1288.0,House for sale,UNITED COUNTRY H5 AUCTION AND REALTY,Big yard,properties_sheet5_parsed.csv
"207 Pagosa Ln, Holly Lake Ranch, TX 75765",150000.0,2,2,1114.0,House for sale,LONE STAR REALTY - WINNSBORO,"Price cut: $25,000 (2/19)",properties_sheet5_parsed.csv
"1159 County Road 479d House & 2, Mount Enterprise, TX 75681",150000.0,2,2,1544.0,House for sale,KEEBAUGH & COMPANY,Wood burning fireplace,properties_sheet5_parsed.csv
"203 Parker St, Arp, TX 75750",153000.0,3,2,1443.0,House for sale,KRISTI MARTIN REALTOR LLC,Comfortable living space,properties_sheet5_parsed.csv
"1931 Valleywood Trl, Holly Lake Ranch, TX 75765",154500.0,2,2,988.0,House for sale,A GRACE REAL ESTATE,113 days on Zillow,properties_sheet5_parsed.csv
"327 Blue Bird Ln, Mineola, TX 75773",154990.0,3,2,1202.0,New construction,National Home Corporation,Split-level floorplan,properties_sheet5_parsed.csv
"315 Blue Bird Ln, Mineola, TX 75773",154990.0,3,2,1202.0,New construction,National Home Corporation,"Price cut: $3,000 (2/13)",properties_sheet5_parsed.csv
"216 Hickory St, Gladewater, TX 75647",155000.0,3,2,1700.0,House for sale,MASON REAL ESTATE COMPANY,Spacious backyard,properties_sheet5_parsed.csv
"119 E Highland Ave, Longview, TX 75602",155000.0,3,2,1182.0,House for sale,KEEBAUGH & COMPANY,Fireplace insert,properties_sheet5_parsed.csv
"801 E Austin St, Marshall, TX 75670",155000.0,3,2,1022.0,House for sale,RAMSEY REALTY GROUP,Fresh paint,properties_sheet5_parsed.csv
"160 Vz County Road 4130, Canton, TX 75103",155000.0,3,2,1244.0,House for sale,,Quiet dead-end road,properties_sheet5_parsed.csv
"809 Herbert St, Marshall, TX 75670",155000.0,3,3,1820.0,House for sale,UNITED COUNTRY H5 AUCTION AND REALTY,Charming front porch,properties_sheet5_parsed.csv
"1314 Forrest Dr, Canton, TX 75103",155000.0,3,2,1506.0,House for sale,,"Price cut: $4,000 (2/13)",properties_sheet5_parsed.csv
"918 W Kuykendall St, Grand Saline, TX 75140",155000.0,3,2,1250.0,For sale by owner,,Spacious yard,properties_sheet5_parsed.csv
"104 N Sparrow Ct, Mineola, TX 75773",157990.0,3,2,1202.0,New construction,National Home Corporation,"Price increase: $4,000 (2/18)",properties_sheet5_parsed.csv
"233 Blue Bird Ln, Mineola, TX 75773",157990.0,3,2,1202.0,New construction,National Home Corporation,Spacious home,properties_sheet5_parsed.csv
"104 Sparrow Ct, Mineola, TX 75773",157990.0,4,2,1202.0,House for sale,,Split-level floorplan,properties_sheet5_parsed.csv
"2500 Fair St, Marshall, TX 75670",158000.0,3,2,1220.0,House for sale,USA PLUS REALTY,"Price cut: $1,900 (1/30)",properties_sheet5_parsed.csv
"219 Half St, Lindale, TX 75771",159000.0,3,2,1536.0,House for sale,RE/MAX PROFESSIONALS,Sizable backyard,properties_sheet5_parsed.csv
"312 Willow St, Hughes Springs, TX 75656",159000.0,3,2,1320.0,House for sale,MAYBEN REALTY - PITTSBURG,"Price cut: $8,500 (2/10)",properties_sheet5_parsed.csv
"650 Hunter Rd, Carthage, TX 75633",159000.0,3,2,1242.0,House for sale,READY REAL ESTATE LLC,Modern updates,properties_sheet5_parsed.csv
"627 County Road 305, Carthage, TX 75633",159000.0,3,3,,For sale by owner,,Small storage building,properties_sheet5_parsed.csv
"1221 Webb St, Daingerfield, TX 75638",159000.0,3,2,1497.0,House for sale,,"Price cut: $10,900 (2/4)",properties_sheet5_parsed.csv
"233 Fairway Dr, Gilmer, TX 75645",159000.0,2,2,1897.0,House for sale,NOLAN PROPERTIES LLC,Extra space,properties_sheet5_parsed.csv
"1118 S Fleishel Ave, Tyler, TX 75701",159800.0,3,2,2076.0,House for sale,KRISTI MARTIN REALTOR LLC,Single-story home,properties_sheet5_parsed.csv
"204 Maxwell St, Sulphur Springs, TX 75482",159895.0,3,2,1076.0,House for sale,,"Price cut: $9,605 (1/21)",properties_sheet5_parsed.csv
"127 Conway St, Longview, TX 75601",159900.0,5,2,1890.0,House for sale,TEXAS REAL ESTATE EXECUTIVES - LONGVIEW,"Price cut: $10,000 (2/9)",properties_sheet5_parsed.csv
"322 S Clayton Ave, Tyler, TX 75702",159900.0,3,2,1736.0,House for sale,"MORA REALTY GROUP, LLC",Solid brick-veneer home,properties_sheet5_parsed.csv
"805 S Glenwood Blvd, Tyler, TX 75701",159900.0,3,2,1907.0,House for sale,,Brick exterior,properties_sheet5_parsed.csv
"205 Parkdale Dr W, Whitehouse, TX 75791",159900.0,3,2,1628.0,House for sale,"THE BRIAN CHINN TEAM, EXP REALTY","Price cut: $13,600 (2/19)",properties_sheet5_parsed.csv
"201 Parkview St, Pittsburg, TX 75686",159900.0,4,4,2931.0,House for sale,CENTURY 21 PREMIER GROUP,37 days on Zillow,properties_sheet5_parsed.csv
"1201 College St, Sulphur Springs, TX 75482",159900.0,4,3,1416.0,House for sale,,Corner lot,properties_sheet5_parsed.csv
"100 Lynch St, Hawkins, TX 75765",159900.0,2,2,978.0,House for sale,"TEXAS REAL ESTATE EXECUTIVES, THE DANIELS GROUP - GILMER",Modern comfort,properties_sheet5_parsed.csv
"3515 Fm 49, Mineola, TX 75773",159900.0,4,2,2343.0,House for sale,CENTURY 21 FIRST GROUP - MINEOLA,Adjoining dining,properties_sheet5_parsed.csv
"106 Candy Dr, Pittsburg, TX 75686",159900.0,3,2,2384.0,House for sale,NE TEXAS REGIONAL REALTY,"Price cut: $20,075 (2/16)",properties_sheet5_parsed.csv
"1176 Fm 2088, Gilmer, TX 75644",159900.0,3,2,1680.0,House for sale,TEXAS REAL ESTATE EXECUTIVES-GILMER,37 days on Zillow,properties_sheet5_parsed.csv
"511 Woodlawn St, Henderson, TX 75652",159995.0,3,2,1499.0,House for sale,"THE GINGRICH GROUP, LLC",Sleek design,properties_sheet5_parsed.csv
"605 E Lynnwood Ln, Longview, TX 75604",160000.0,2,3,1671.0,House for sale,COLDWELL BANKER LENHART-MARSHALL,166 days on Zillow,properties_sheet5_parsed.csv
"506 E Longview St, Arp, TX 75750",160000.0,3,2,1776.0,For sale by owner,,Metal roof,properties_sheet5_parsed.csv
