address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"8439 Hyena Rd, Gilmer, TX 75644",149900.0,3,2,1664.0,House for sale,TEXAS REAL ESTATE EXECUTIVES-GILMER,Spring-fed water well,75644,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"309 E Brandon St, Overton, TX 75684",149900.0,3,3,1700.0,Multi-family home for sale,SIMPSON REALTY GROUP,"Price cut: $10,000 (2/7)",75684,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"(undisclosed Address), Emory, TX 75440",149900.0,5,3,2240.0,Multi-family home for sale,,62 days on Zillow,75440,Rains,162300.0,867.0,54892.0,13.5,16.4,4.8,15.9,12367.0,properties_sheet5_enriched.csv
"726 Swancy St, Longview, TX 75602",149999.0,3,2,1268.0,House for sale,COLDWELL BANKER LENHART,Fresh interior paint throughout,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"16053 Fm 848, Whitehouse, TX 75791",150000.0,3,2,1440.0,House for sale,KRISTI MARTIN REALTY,Ample outdoor space,75791,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"18737 Saddleback Ln, Flint, TX 75762",150000.0,4,3,2200.0,House for sale,STAPLES SOTHEBY'S INTERNATIONAL REALTY,Great yard,75762,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"505 Pinecrest St, Avinger, TX 75630",150000.0,3,2,1288.0,House for sale,UNITED COUNTRY H5 AUCTION AND REALTY,Big yard,75630,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"207 Pagosa Ln, Holly Lake Ranch, TX 75765",150000.0,2,2,1114.0,House for sale,LONE STAR REALTY - WINNSBORO,"Price cut: $25,000 (2/19)",75765,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"1159 County Road 479d House & 2, Mount Enterprise, TX 75681",150000.0,2,2,1544.0,House for sale,KEEBAUGH & COMPANY,Wood burning fireplace,75681,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"203 Parker St, Arp, TX 75750",153000.0,3,2,1443.0,House for sale,KRISTI MARTIN REALTOR LLC,Comfortable living space,75750,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"1931 Valleywood Trl, Holly Lake Ranch, TX 75765",154500.0,2,2,988.0,House for sale,A GRACE REAL ESTATE,113 days on Zillow,75765,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"327 Blue Bird Ln, Mineola, TX 75773",154990.0,3,2,1202.0,New construction,National Home Corporation,Split-level floorplan,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"315 Blue Bird Ln, Mineola, TX 75773",154990.0,3,2,1202.0,New construction,National Home Corporation,"Price cut: $3,000 (2/13)",75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"216 Hickory St, Gladewater, TX 75647",155000.0,3,2,1700.0,House for sale,MASON REAL ESTATE COMPANY,Spacious backyard,75647,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"119 E Highland Ave, Longview, TX 75602",155000.0,3,2,1182.0,House for sale,KEEBAUGH & COMPANY,Fireplace insert,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"801 E Austin St, Marshall, TX 75670",155000.0,3,2,1022.0,House for sale,RAMSEY REALTY GROUP,Fresh paint,75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"160 Vz County Road 4130, Canton, TX 75103",155000.0,3,2,1244.0,House for sale,,Quiet dead-end road,75103,Van Zandt,165200.0,912.0,58432.0,11.3,18.2,4.6,14.7,59417.0,properties_sheet5_enriched.csv
"809 Herbert St, Marshall, TX 75670",155000.0,3,3,1820.0,House for sale,UNITED COUNTRY H5 AUCTION AND REALTY,Charming front porch,75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
