metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
Parker County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,266","$1,384","$1,617","$2,144","$2,615",40,2025
Parmer County,"Parmer County, TX",$766,$785,$984,"$1,190","$1,656",40,2025
Pecos County,"Pecos County, TX",$744,$851,$955,"$1,346","$1,419",40,2025
Polk County,"Polk County, TX",$775,$877,$995,"$1,274","$1,425",40,2025
Potter County,"Amarillo, TX HUD Metro FMR Area",$754,$879,"$1,082","$1,482","$1,728",40,2025
Presidio County,"Presidio County, TX",$705,$806,$905,"$1,275","$1,345",40,2025
Rains County,"Rains County, TX",$722,$826,$927,"$1,296","$1,380",40,2025
Randall County,"Amarillo, TX HUD Metro FMR Area",$754,$879,"$1,082","$1,482","$1,728",40,2025
Reagan County,"Reagan County, TX",$829,$857,"$1,065","$1,288","$1,583",40,2025
Real County,"Real County, TX",$829,$857,"$1,065","$1,397","$1,583",40,2025
Red River County,"Red River County, TX",$705,$806,$905,"$1,094","$1,345",40,2025
Reeves County,"Reeves County, TX",$788,$815,"$1,012","$1,378","$1,504",40,2025
Refugio County,"Refugio County, TX",$705,$754,$906,"$1,188","$1,346",40,2025
Roberts County,"Roberts County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Robertson County,"College Station-Bryan, TX MSA",$958,"$1,015","$1,140","$1,606","$1,710",40,2025
Rockwall County,"Dallas, TX HUD Metro FMR Area","$1,426","$1,500","$1,758","$2,212","$2,847",40,2025
Runnels County,"Runnels County, TX",$783,$788,"$1,035","$1,251","$1,378",40,2025
Rusk County,"Rusk County, TX HUD Metro FMR Area",$764,$769,"$1,011","$1,286","$1,421",40,2025
Sabine County,"Sabine County, TX",$705,$722,$905,"$1,253","$1,536",40,2025
San Augustine County,"San Augustine County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
San Jacinto County,"San Jacinto County, TX",$706,$808,$907,"$1,203","$1,208",40,2025
San Patricio County,"Corpus Christi, TX MSA","$1,030","$1,104","$1,355","$1,763","$2,066",40,2025
San Saba County,"San Saba County, TX",$771,$776,"$1,020","$1,233","$1,516",40,2025
Schleicher County,"Schleicher County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Scurry County,"Scurry County, TX",$748,$856,$961,"$1,354","$1,631",40,2025
Shackelford County,"Shackelford County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Shelby County,"Shelby County, TX",$705,$806,$905,"$1,275","$1,373",40,2025
Sherman County,"Sherman County, TX",$705,$729,$905,"$1,233","$1,237",40,2025
Smith County,"Tyler, TX MSA",$966,"$1,009","$1,235","$1,621","$1,912",40,2025
Somervell County,"Somervell County, TX",$786,$813,"$1,010","$1,423","$1,501",40,2025
Starr County,"Starr County, TX",$684,$689,$905,"$1,275","$1,345",40,2025
Stephens County,"Stephens County, TX",$705,$729,$905,"$1,275","$1,345",40,2025
Sterling County,"Sterling County, TX HUD Metro FMR Area",$777,$925,"$1,146","$1,516","$1,906",40,2025
Stonewall County,"Stonewall County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Sutton County,"Sutton County, TX",$689,$694,$905,"$1,275","$1,345",40,2025
Swisher County,"Swisher County, TX",$705,$723,$905,"$1,275","$1,345",40,2025
Tarrant County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,266","$1,384","$1,617","$2,144","$2,615",40,2025
Taylor County,"Abilene, TX MSA",$860,$876,"$1,117","$1,488","$1,789",40,2025
Terrell County,"Terrell County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Terry County,"Terry County, TX",$718,$742,$922,"$1,296","$1,370",40,2025
Throckmorton County,"Throckmorton County, TX",$721,$746,$926,"$1,120","$1,376",40,2025
Titus County,"Titus County, TX",$717,$722,$926,"$1,229","$1,233",40,2025
Tom Green County,"San Angelo, TX HUD Metro FMR Area",$779,$927,"$1,149","$1,523","$1,912",40,2025
Travis County,"Austin-Round Rock, TX MSA","$1,519","$1,635","$1,924","$2,470","$2,840",40,2025
Trinity County,"Trinity County, TX",$786,$799,"$1,009","$1,220","$1,712",40,2025
Tyler County,"Tyler County, TX",$705,$725,$905,"$1,094","$1,345",40,2025
Upshur County,"Longview, TX HUD Metro FMR Area",$889,$930,"$1,102","$1,537","$1,665",40,2025
Upton County,"Upton County, TX",$705,$806,$905,"$1,187","$1,345",40,2025
Uvalde County,"Uvalde County, TX",$794,$881,"$1,020","$1,437","$1,653",40,2025
Val Verde County,"Val Verde County, TX",$764,$769,"$1,011","$1,341","$1,346",40,2025
Van Zandt County,"Van Zandt County, TX",$711,$798,"$1,049","$1,478","$1,547",40,2025
Victoria County,"Victoria, TX MSA","$1,010","$1,016","$1,276","$1,588","$1,753",40,2025
Walker County,"Walker County, TX",$807,"$1,035","$1,190","$1,441","$2,019",40,2025
Waller County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,073","$1,135","$1,357","$1,792","$2,303",40,2025
Ward County,"Ward County, TX",$831,$950,"$1,067","$1,410","$1,586",40,2025
Washington County,"Washington County, TX",$919,$973,"$1,181","$1,586","$1,730",40,2025
Webb County,"Laredo, TX MSA",$876,$881,"$1,087","$1,384","$1,449",40,2025
Wharton County,"Wharton County, TX",$677,$803,$999,"$1,408","$1,558",40,2025
Wheeler County,"Wheeler County, TX",$729,$730,$936,"$1,132","$1,391",40,2025
